No,Sex,Exam. Location,Exam. date,Age,School,Occupation,Race,Body mass,Stature,"Iliac spine height, standing",Shoulder (biacromial) breadth,Head length,Head breadth,Chest circumference,Waist circumference,Calf circumference,Ball angle,Ball breadth,"Bicondylar, femur","Bicondylar, humerus",Bicristal breadth,Calf skinfold thickness,Cristal height,Fibular instep length,Foot breadth,Foot circumference,Foot length,Forearm circumference,Forearm length,Hand breadth,Hand length from crease,Hand length from stylion,Hand thickness,Heel breadth,Hip circumference,Instep length,Lateral epicondyle height,Lateral malleolus height,Maximum body height,Medial malleolus height,Subscapular skinfold thickness,Suprailiac skinfold thickness,Suprasternal height,Symphyseal height,Thigh circumference,Toe I angle,Toe V angle,Total head height,Triceps skinfold thickness,Trochanterion height,Upper arm circumference,"Upper arm circumference, flexed",Upper arm length,Upper limb length,Waist breadth,Waist height
1,M,"Japan, JP,Tokyo",1997.5.6,21.46,U,student,Japanese,79.8,1775,984,410,190,160,967,884,419,79.5,106,104,59,288,12.8,1067,176.5,108,269,274,263,259,82,189,197,30,68,1018,196,498,76,1782,84,19.4,27.4,1439,897,604,9,14.5,225,16.4,905,309,314,332,776,313,1077
2,M,"Japan, JP,Tokyo",1997.6.18,20.85,U,student,Japanese,58,1710,947,399,180,151,858,719,348,73,98,89,63,281,5.2,1004,158,103,248,255.5,236,254,78,180,184,27,63,877,188,470,71,1715,84,16,12,1379,857,496,8.5,14,240,10.6,865,261,266,305,736,273,1046
3,M,"Japan, JP,Tokyo",1997.5.6,19.81,U,student,Japanese,67.6,1778,979,388,198,161,848,743,378,79,106,102,68,257,9,1043,161,108,264,250.5,273,249,83,187,203,33,68.5,915,182,492,74,1782,81,14.6,8.4,1446,909,565,9.5,17.5,228,9.8,911,281,293,317,747,250,1126
4,M,"Japan, JP,Tokyo",1997.5.6,19.65,U,student,Japanese,69.2,1769,960,440,186,157,911,766,367,82.5,103,98,71,292,12.4,1030,168.5,104,259,261,267,254,88,180,196,35,66.5,940,182.5,482,69,1778,84,12.2,14.2,1424,893,542,7.5,9.5,240,13.4,896,283,299,347,776,275,1090
5,M,"Japan, JP,Tokyo",1997.5.6,24.69,U,student,Japanese,56.2,1676,868,407,183,152,788,649,365,74.5,97.5,94,63,251,6,932,149.5,101,257,246,242,240,82,179,181,32,61.5,872,176.5,440,70,1684,86,9.8,6.6,1330,806,520,6.5,13,234,6.4,824,245,260,300,711,221,1023
6,M,"Japan, JP,Tokyo",1997.5.6,21.05,U,student,Japanese,53.4,1735,952,375,183,171,832,667,339,80,98.5,98,65,277,3.8,1017,163,100,251,256,233,249,85,183,189,30,67,868,181,494,79,1742,85,7.6,4,1388,875,474,6,14,236,5,887,235,253,308,736,239,1067
7,M,"Japan, JP,Tokyo",1997.5.7,19.7,U,student,Japanese,67.8,1819,1027,412,183,159,875,728,377,80,98.5,101,65,301,4.8,1102,169.5,100,259,258,247,275,81,194,206,32,65,925,187,532,79,1823,91,9.4,4.4,1475,959,522,6.5,7,249,7,962,257,274,341,804,262,1148
8,M,"Japan, JP,Tokyo",1997.5.7,19.2,U,student,Japanese,59.4,1774,975,392,195,156,787,695,351,77.5,92.5,94,64,271,7.4,1024,157.5,94.5,235,246.5,244,256,74,177,187,27,59,890,178.5,483,67,1779,70,10.4,9,1425,904,520,14,8.5,226,8.4,909,247,259,344,775,250,1083
9,M,"Japan, JP,Tokyo",1997.5.7,19.85,U,student,Japanese,67.4,1795,938,372,189,162,874,702,385,81,101,102,68,279,5.6,1001,177.5,102,261,269.5,266,249,86,188,199,30,70.5,921,194,473,78,1800,85,11.4,3.6,1449,872,536,11,3,234,6.2,869,249,268,326,747,249,1091
10,M,"Japan, JP,Tokyo",1997.5.7,23.46,U,student,Japanese,59,1693,924,408,191,158,869,729,331,86,96,89,62,276,5.4,1003,168.5,96,238,255,245,241,81,184,191,31,66,879,175.5,472,76,1695,86,10,6.8,1354,865,527,9,11.5,218,6.6,869,282,289,338,725,264,1035
